,Unnamed: 0,LocationAbbr,DataSource,DataValueUnit,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,Year
0,3,ME,BRFSS,%,11.4,11.4,10.2,12.7,DIA,DIA01,CRDPREV,SEX,SEXM,2019
1,9,AL,BRFSS,%,5.0,5.0,3.6,6.8,DIA,DIA01,CRDPREV,AGE,AGE1844,2020
2,21,VT,BRFSS,%,9.3,9.3,8.0,10.8,DIA,DIA01,CRDPREV,SEX,SEXM,2020
3,22,VI,BRFSS,%,12.0,12.0,7.7,18.2,DIA,DIA01,CRDPREV,SEX,SEXM,2020
4,29,MA,BRFSS,%,9.2,9.2,8.0,10.6,DIA,DIA01,CRDPREV,SEX,SEXM,2021
5,35,KY,BRFSS,%,15.1,15.1,13.2,17.3,DIA,DIA01,CRDPREV,SEX,SEXF,2022
6,4404,CA,BRFSS,%,9.7,9.7,8.8,10.7,DIA,DIA01,CRDPREV,SEX,SEXF,2019
7,13600,AK,BRFSS,%,8.5,8.5,7.1,10.1,DIA,DIA01,CRDPREV,RACE,WHT,2019
8,13641,AR,NVSS,Number,43.0,43.0,,,DIA,DIA03,NMBR,RACE,HIS,2019
9,13802,AR,BRFSS,%,25.3,25.3,23.1,27.5,DIA,DIA01,CRDPREV,AGE,AGE65P,2019
10,13891,AR,PRAMS,%,9.2,9.2,6.1,13.7,DIA,DIA02,CRDPREV,RACE,WHT,2019
11,13903,AZ,NVSS,"cases per 100,000",2.9,2.9,2.1,3.8,DIA,DIA04,CRDRATE,AGE,AGE4564,2019
12,13926,AL,BRFSS,%,15.3,15.3,8.4,26.1,DIA,DIA01,CRDPREV,RACE,AIAN,2019
13,13948,AR,NVSS,"cases per 100,000",89.2,89.2,84.5,94.0,DIA,DIA03,CRDRATE,SEX,SEXF,2019
14,13951,AZ,BRFSS,%,22.7,22.7,17.2,29.2,DIA,DIA01,AGEADJPREV,RACE,AIAN,2019
15,13962,AR,BRFSS,%,12.1,12.1,10.7,13.7,DIA,DIA01,AGEADJPREV,SEX,SEXF,2019
16,14088,AK,NVSS,Number,192.0,192.0,,,DIA,DIA03,NMBR,RACE,WHT,2019
17,14098,AZ,NVSS,"cases per 100,000",1.6,1.6,1.3,2.1,DIA,DIA04,CRDRATE,RACE,WHT,2019
18,14112,AL,NVSS,"cases per 100,000",2.1,2.1,1.5,2.7,DIA,DIA04,CRDRATE,SEX,SEXF,2019
19,14196,AR,NVSS,"cases per 100,000",1.8,1.8,1.2,2.7,DIA,DIA04,AGEADJRATE,SEX,SEXM,2019
20,14265,AK,BRFSS,%,2.0,2.0,1.2,3.5,DIA,DIA01,CRDPREV,AGE,AGE1844,2019
21,14291,AZ,NVSS,"cases per 100,000",34.1,34.1,25.5,44.7,DIA,DIA03,CRDRATE,RACE,MRC,2019
22,14295,AZ,NVSS,"cases per 100,000",40.5,40.5,32.6,48.4,DIA,DIA03,CRDRATE,RACE,ASN,2019
23,14424,AK,BRFSS,%,6.6,6.6,5.3,8.2,DIA,DIA01,CRDPREV,SEX,SEXM,2019
24,14458,AK,NVSS,"cases per 100,000",39.9,39.9,28.8,53.7,DIA,DIA03,CRDRATE,RACE,AIAN,2019
25,14483,AR,BRFSS,%,18.7,18.7,15.1,22.8,DIA,DIA01,CRDPREV,RACE,BLK,2019
26,14492,AZ,NVSS,"cases per 100,000",59.4,59.4,57.8,61.0,DIA,DIA03,AGEADJRATE,OVERALL,OVR,2019
27,14553,AZ,NVSS,Number,1256.0,1256.0,,,DIA,DIA03,NMBR,AGE,AGE4564,2019
28,14612,AR,NVSS,Number,56.0,56.0,,,DIA,DIA04,NMBR,OVERALL,OVR,2019
29,14752,AZ,BRFSS,%,11.4,11.4,10.0,13.0,DIA,DIA01,CRDPREV,SEX,SEXM,2019
30,14758,AL,NVSS,"cases per 100,000",55.9,55.9,53.0,58.8,DIA,DIA03,CRDRATE,SEX,SEXF,2019
31,14925,AZ,BRFSS,%,9.9,9.9,5.9,16.0,DIA,DIA01,AGEADJPREV,RACE,MRC,2019
32,14944,AK,BRFSS,%,7.2,7.2,6.1,8.5,DIA,DIA01,AGEADJPREV,OVERALL,OVR,2019
33,15073,AL,NVSS,"cases per 100,000",81.0,81.0,76.0,86.1,DIA,DIA03,AGEADJRATE,RACE,BLK,2019
34,15093,AL,NVSS,"cases per 100,000",2.5,2.5,1.7,3.5,DIA,DIA04,CRDRATE,RACE,BLK,2019
35,15154,AZ,NVSS,"cases per 100,000",2.7,2.7,1.9,3.7,DIA,DIA04,CRDRATE,AGE,AGE65P,2019
36,15190,AR,NVSS,Number,3182.0,3182.0,,,DIA,DIA03,NMBR,OVERALL,OVR,2019
37,15290,AZ,NVSS,"cases per 100,000",72.5,72.5,68.5,76.5,DIA,DIA03,CRDRATE,AGE,AGE4564,2019
38,15323,AZ,NVSS,"cases per 100,000",4.1,4.1,3.5,4.7,DIA,DIA03,CRDRATE,AGE,AGE0_44,2019
39,15460,AK,NVSS,Number,305.0,305.0,,,DIA,DIA03,NMBR,OVERALL,OVR,2019
40,15654,AZ,NVSS,"cases per 100,000",90.2,90.2,87.2,93.2,DIA,DIA03,CRDRATE,RACE,WHT,2019
41,15759,AL,BRFSS,%,12.3,12.3,7.0,20.5,DIA,DIA01,AGEADJPREV,RACE,MRC,2019
42,16028,AL,BRFSS,%,12.0,12.0,11.0,13.2,DIA,DIA01,AGEADJPREV,SEX,SEXF,2019
43,16051,AZ,NVSS,Number,379.0,379.0,,,DIA,DIA03,NMBR,RACE,AIAN,2019
44,16066,AR,BRFSS,%,14.2,14.2,8.5,22.7,DIA,DIA01,CRDPREV,RACE,MRC,2019
45,16101,AK,NVSS,Number,78.0,78.0,,,DIA,DIA03,NMBR,AGE,AGE4564,2019
46,16261,AL,NVSS,"cases per 100,000",67.1,67.1,64.8,69.4,DIA,DIA03,CRDRATE,OVERALL,OVR,2019
47,16318,AR,NVSS,Number,769.0,769.0,,,DIA,DIA03,NMBR,AGE,AGE4564,2019
48,16352,AR,NVSS,"cases per 100,000",105.1,105.1,100.1,110.0,DIA,DIA03,AGEADJRATE,SEX,SEXM,2019
49,16353,AR,NVSS,"cases per 100,000",119.7,119.7,109.8,129.7,DIA,DIA03,CRDRATE,RACE,BLK,2019
50,16411,AL,NVSS,Number,48.0,48.0,,,DIA,DIA04,NMBR,AGE,AGE4564,2019
51,16450,AR,NVSS,"cases per 100,000",1.5,1.5,1.0,2.2,DIA,DIA04,AGEADJRATE,SEX,SEXF,2019
52,16451,AK,NVSS,"cases per 100,000",46.9,46.9,40.1,53.8,DIA,DIA03,CRDRATE,SEX,SEXM,2019
53,16534,AL,NVSS,"cases per 100,000",2.4,2.4,1.8,3.1,DIA,DIA04,AGEADJRATE,SEX,SEXM,2019
54,16558,AR,NVSS,"cases per 100,000",64.3,64.3,60.8,67.7,DIA,DIA03,AGEADJRATE,SEX,SEXF,2019
55,16581,AZ,NVSS,"cases per 100,000",90.9,90.9,87.8,94.0,DIA,DIA03,CRDRATE,SEX,SEXM,2019
56,16607,AK,NVSS,Number,21.0,21.0,,,DIA,DIA03,NMBR,RACE,ASN,2019
57,16612,AZ,BRFSS,%,15.1,15.1,13.0,17.5,DIA,DIA01,CRDPREV,AGE,AGE4564,2019
58,16625,AZ,NVSS,"cases per 100,000",1.5,1.5,1.1,1.9,DIA,DIA04,AGEADJRATE,SEX,SEXM,2019
59,16685,AZ,NVSS,Number,59.0,59.0,,,DIA,DIA04,NMBR,SEX,SEXM,2019
60,16908,AZ,NVSS,"cases per 100,000",44.5,44.5,35.6,53.3,DIA,DIA03,AGEADJRATE,RACE,ASN,2019
61,16933,AK,PRAMS,%,10.1,10.1,7.3,13.7,DIA,DIA02,CRDPREV,RACE,WHT,2019
62,16945,AL,BRFSS,%,13.1,13.1,8.1,20.7,DIA,DIA01,AGEADJPREV,RACE,AIAN,2019
63,16949,AR,BRFSS,%,13.6,13.6,12.1,15.2,DIA,DIA01,CRDPREV,SEX,SEXF,2019
64,17014,AK,BRFSS,%,7.7,7.7,6.5,9.2,DIA,DIA01,AGEADJPREV,RACE,WHT,2019
65,17019,AR,NVSS,Number,2320.0,2320.0,,,DIA,DIA03,NMBR,AGE,AGE65P,2019
66,17046,AL,NVSS,Number,52.0,52.0,,,DIA,DIA04,NMBR,SEX,SEXF,2019
67,17075,AK,NVSS,"cases per 100,000",38.0,38.0,31.2,44.8,DIA,DIA03,AGEADJRATE,SEX,SEXF,2019
