,YearStart,YearEnd,LocationAbbr,DataSource,DataValueUnit,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
3,2019,2019,ME,BRFSS,%,11.4,11.4,10.2,12.7,DIA,DIA01,CRDPREV,SEX,SEXM
9,2020,2020,AL,BRFSS,%,5.0,5.0,3.6,6.8,DIA,DIA01,CRDPREV,AGE,AGE1844
21,2020,2020,VT,BRFSS,%,9.3,9.3,8.0,10.8,DIA,DIA01,CRDPREV,SEX,SEXM
22,2020,2020,VI,BRFSS,%,12.0,12.0,7.7,18.2,DIA,DIA01,CRDPREV,SEX,SEXM
29,2021,2021,MA,BRFSS,%,9.2,9.2,8.0,10.6,DIA,DIA01,CRDPREV,SEX,SEXM
35,2022,2022,KY,BRFSS,%,15.1,15.1,13.2,17.3,DIA,DIA01,CRDPREV,SEX,SEXF
4404,2019,2019,CA,BRFSS,%,9.7,9.7,8.8,10.7,DIA,DIA01,CRDPREV,SEX,SEXF
13600,2019,2019,AK,BRFSS,%,8.5,8.5,7.1,10.1,DIA,DIA01,CRDPREV,RACE,WHT
13641,2019,2019,AR,NVSS,Number,43.0,43.0,,,DIA,DIA03,NMBR,RACE,HIS
13802,2019,2019,AR,BRFSS,%,25.3,25.3,23.1,27.5,DIA,DIA01,CRDPREV,AGE,AGE65P
13891,2019,2019,AR,PRAMS,%,9.2,9.2,6.1,13.7,DIA,DIA02,CRDPREV,RACE,WHT
13903,2019,2019,AZ,NVSS,"cases per 100,000",2.9,2.9,2.1,3.8,DIA,DIA04,CRDRATE,AGE,AGE4564
13926,2019,2019,AL,BRFSS,%,15.3,15.3,8.4,26.1,DIA,DIA01,CRDPREV,RACE,AIAN
13948,2019,2019,AR,NVSS,"cases per 100,000",89.2,89.2,84.5,94.0,DIA,DIA03,CRDRATE,SEX,SEXF
13951,2019,2019,AZ,BRFSS,%,22.7,22.7,17.2,29.2,DIA,DIA01,AGEADJPREV,RACE,AIAN
13962,2019,2019,AR,BRFSS,%,12.1,12.1,10.7,13.7,DIA,DIA01,AGEADJPREV,SEX,SEXF
14088,2019,2019,AK,NVSS,Number,192.0,192.0,,,DIA,DIA03,NMBR,RACE,WHT
14098,2019,2019,AZ,NVSS,"cases per 100,000",1.6,1.6,1.3,2.1,DIA,DIA04,CRDRATE,RACE,WHT
14112,2019,2019,AL,NVSS,"cases per 100,000",2.1,2.1,1.5,2.7,DIA,DIA04,CRDRATE,SEX,SEXF
