LocationDesc,LocationAbbr
Georgia,GA
Guam,GU
Maine,ME
Nevada,NV
Ohio,OH
Oklahoma,OK
Virgin Islands,VI
West Virginia,WV
Alabama,AL
Alaska,AK
District of Columbia,DC
Illinois,IL
Kansas,KS
New Jersey,NJ
Pennsylvania,PA
South Carolina,SC
United States,US
Vermont,VT
Washington,WA
Wyoming,WY
Arizona,AZ
Arkansas,AR
Louisiana,LA
Massachusetts,MA
Oregon,OR
Kentucky,KY
Michigan,MI
Minnesota,MN
Missouri,MO
Idaho,ID
Colorado,CO
New York,NY
North Dakota,ND
Texas,TX
North Carolina,NC
Connecticut,CT
Mississippi,MS
Virginia,VA
Wisconsin,WI
Delaware,DE
Florida,FL
Iowa,IA
Montana,MT
Indiana,IN
California,CA
Nebraska,NE
Hawaii,HI
New Mexico,NM
South Dakota,SD
Rhode Island,RI
New Hampshire,NH
Utah,UT
Maryland,MD
Tennessee,TN
Puerto Rico,PR
