LocationAbbr,DataValue_dia01,YearStart,DataValue_dia02,DataValue_dia03,DataValue_dia04
AR,13.6,2019,11.9,105.4,1.9
AL,14.0,2019,6.8,67.1,2.3
CT,9.6,2019,11.9,61.6,1.3
CO,7.0,2019,7.4,78.1,1.5
GA,12.0,2019,10.2,70.4,1.4
FL,11.7,2019,9.9,80.7,1.2
IL,11.3,2019,9.9,66.5,1.3
LA,12.6,2019,7.9,87.1,1.6
KS,10.8,2019,10.9,85.4,1.8
KY,13.3,2019,10.9,155.9,3.4
IA,10.3,2019,12.3,110.8,1.2
MA,8.4,2019,10.6,59.8,1.3
MN,8.8,2019,10.5,110.5,2.3
MO,10.3,2019,9.0,76.9,1.5
MI,11.1,2019,8.7,88.1,1.4
MT,7.6,2019,5.8,91.9,1.9
MD,11.0,2019,9.6,91.8,2.3
MS,14.8,2019,7.6,143.1,1.6
ME,10.6,2019,10.0,98.6,1.9
IA,9.7,2020,9.9,147.6,2.7
NM,12.3,2019,9.9,94.2,3.0
NY,10.5,2019,10.5,74.8,1.6
NH,9.2,2019,8.5,83.5,1.9
NE,10.2,2019,8.7,109.0,1.3
NC,11.8,2019,8.5,84.1,1.7
OR,8.6,2019,11.8,112.3,1.7
PA,10.8,2019,13.9,89.3,1.4
UT,8.0,2019,7.3,57.3,1.4
WA,9.4,2019,10.8,83.1,1.9
VA,10.9,2019,9.5,66.4,1.1
US,11.1,2019,10.0,86.2,1.7
TN,13.8,2019,11.3,108.2,3.1
AL,15.1,2020,8.6,94.5,3.6
CT,10.8,2020,10.0,84.2,2.2
DE,12.0,2020,15.2,120.7,2.0
AZ,11.0,2020,11.8,108.9,2.2
AR,12.5,2020,10.4,135.1,2.9
CO,7.0,2020,9.8,99.6,2.7
WI,8.7,2019,9.6,102.1,1.9
KS,11.1,2020,13.3,114.3,2.4
GA,12.3,2020,8.3,93.2,2.4
IL,10.8,2020,11.0,111.3,2.1
DC,7.7,2020,7.9,137.6,3.6
MD,11.1,2020,12.2,133.1,3.2
MT,8.9,2020,9.4,123.5,3.0
MN,9.0,2020,10.0,141.8,2.5
MO,11.3,2020,11.4,101.4,2.4
LA,13.6,2020,9.9,130.1,2.2
MI,10.8,2020,10.9,117.9,2.2
KY,13.8,2020,10.7,182.9,4.3
NE,9.6,2020,11.2,146.7,1.8
MS,15.2,2020,8.9,201.5,2.9
ME,10.4,2020,10.3,111.1,1.6
MA,8.9,2020,11.5,79.4,1.7
NM,13.2,2020,11.4,132.0,4.1
OR,9.6,2020,12.5,129.8,2.3
NY,11.4,2020,15.3,115.6,2.5
NH,8.7,2020,10.8,98.2,2.5
NJ,10.3,2020,11.4,96.9,2.4
US,11.4,2020,10.9,117.8,2.5
UT,8.0,2020,7.5,73.9,1.6
SD,10.8,2020,12.9,170.2,3.1
PA,11.1,2020,9.6,118.5,2.2
TN,14.0,2020,11.3,137.2,3.5
VA,11.5,2020,12.4,87.2,1.7
AR,12.5,2021,8.9,149.3,3.2
WY,8.8,2020,6.7,131.5,4.1
WA,8.7,2020,12.6,102.1,2.2
AL,15.1,2021,10.1,104.4,3.7
WV,15.9,2020,6.9,175.4,3.0
WI,9.1,2020,11.1,140.4,2.3
GA,12.3,2021,9.3,103.4,3.0
CT,10.8,2021,11.9,64.4,2.0
CO,7.0,2021,8.6,109.6,3.4
DC,7.7,2021,9.2,124.5,4.5
DE,12.0,2021,13.2,130.7,2.3
IL,10.8,2021,10.6,94.9,2.1
LA,13.6,2021,12.7,130.6,2.5
ME,10.4,2021,11.0,122.9,3.1
KS,11.1,2021,9.8,106.0,2.7
MO,11.3,2021,11.8,104.7,2.7
MT,8.9,2021,8.2,133.3,3.9
MS,15.2,2021,9.4,220.4,4.0
MN,9.0,2021,8.8,140.7,2.8
MI,10.8,2021,12.9,121.3,2.6
MA,8.9,2021,9.7,72.9,2.1
NE,9.6,2021,10.9,142.0,2.8
NY,11.4,2021,11.1,94.5,2.0
OK,12.8,2021,11.4,255.1,4.7
NJ,10.3,2021,13.5,75.2,2.3
ND,9.5,2021,9.8,103.9,3.4
WA,8.7,2021,13.9,113.9,2.9
NM,13.2,2021,13.5,139.2,3.7
PA,11.1,2021,12.0,115.5,2.5
TN,14.0,2021,11.3,147.3,3.9
SD,10.8,2021,14.9,147.1,3.4
OR,9.6,2021,12.6,147.3,2.4
VA,11.5,2021,11.6,97.9,2.1
US,11.4,2021,11.0,120.3,2.9
WI,9.1,2021,10.3,139.3,2.1
UT,8.0,2021,8.2,77.4,2.2
WV,15.9,2021,7.6,207.0,4.5
WY,8.8,2021,6.7,143.4,5.0
